Ensembl_ID,KEGG_ID,Modified Pathway IDs
ENSMUSG00000021250,mmu:14281,mmu04921
ENSMUSG00000021250,mmu:14281,mmu04926
ENSMUSG00000021250,mmu:14281,mmu04928
ENSMUSG00000021250,mmu:14281,mmu04932
ENSMUSG00000021250,mmu:14281,mmu04935
ENSMUSG00000021250,mmu:14281,mmu05031
ENSMUSG00000021250,mmu:14281,mmu05132
ENSMUSG00000021250,mmu:14281,mmu05133
ENSMUSG00000021250,mmu:14281,mmu05135
ENSMUSG00000021250,mmu:14281,mmu05140
ENSMUSG00000021250,mmu:14281,mmu05142
ENSMUSG00000021250,mmu:14281,mmu05161
ENSMUSG00000021250,mmu:14281,mmu05162
ENSMUSG00000021250,mmu:14281,mmu05166
ENSMUSG00000021250,mmu:14281,mmu05167
ENSMUSG00000021250,mmu:14281,mmu05170
ENSMUSG00000021250,mmu:14281,mmu05171
ENSMUSG00000021250,mmu:14281,mmu05200
ENSMUSG00000021250,mmu:14281,mmu05207
ENSMUSG00000021250,mmu:14281,mmu05208
ENSMUSG00000021250,mmu:14281,mmu05210
ENSMUSG00000021250,mmu:14281,mmu05224
ENSMUSG00000021250,mmu:14281,mmu05231
ENSMUSG00000021250,mmu:14281,mmu05235
ENSMUSG00000021250,mmu:14281,mmu05323
ENSMUSG00000021250,mmu:14281,mmu05417
ENSMUSG00000021250,mmu:14281,mmu05418
ENSMUSG00000029910,mmu:56150,mmu04110
ENSMUSG00000029910,mmu:56150,mmu04114
ENSMUSG00000029910,mmu:56150,mmu04914
ENSMUSG00000029910,mmu:56150,mmu05166
ENSMUSG00000005087,mmu:12505,mmu04512
ENSMUSG00000005087,mmu:12505,mmu04640
ENSMUSG00000005087,mmu:12505,mmu05169
ENSMUSG00000005087,mmu:12505,mmu05205
ENSMUSG00000005087,mmu:12505,mmu05206
ENSMUSG00000002266,mmu:22776,mmu05168
ENSMUSG00000052684,mmu:16476,mmu01522
ENSMUSG00000052684,mmu:16476,mmu04010
ENSMUSG00000052684,mmu:16476,mmu04012
ENSMUSG00000052684,mmu:16476,mmu04024
ENSMUSG00000052684,mmu:16476,mmu04137
ENSMUSG00000052684,mmu:16476,mmu04210
ENSMUSG00000052684,mmu:16476,mmu04310
ENSMUSG00000052684,mmu:16476,mmu04380
ENSMUSG00000052684,mmu:16476,mmu04510
ENSMUSG00000052684,mmu:16476,mmu04530
ENSMUSG00000052684,mmu:16476,mmu04620
ENSMUSG00000052684,mmu:16476,mmu04621
ENSMUSG00000052684,mmu:16476,mmu04625
ENSMUSG00000052684,mmu:16476,mmu04657
ENSMUSG00000052684,mmu:16476,mmu04658
ENSMUSG00000052684,mmu:16476,mmu04659
ENSMUSG00000052684,mmu:16476,mmu04660
ENSMUSG00000052684,mmu:16476,mmu04662
ENSMUSG00000052684,mmu:16476,mmu04668
ENSMUSG00000052684,mmu:16476,mmu04722
ENSMUSG00000052684,mmu:16476,mmu04912
ENSMUSG00000052684,mmu:16476,mmu04915
ENSMUSG00000052684,mmu:16476,mmu04921
ENSMUSG00000052684,mmu:16476,mmu04926
ENSMUSG00000052684,mmu:16476,mmu04932
ENSMUSG00000052684,mmu:16476,mmu04933
ENSMUSG00000052684,mmu:16476,mmu05030
ENSMUSG00000052684,mmu:16476,mmu05031
ENSMUSG00000052684,mmu:16476,mmu05132
ENSMUSG00000052684,mmu:16476,mmu05133
ENSMUSG00000052684,mmu:16476,mmu05135
ENSMUSG00000052684,mmu:16476,mmu05140
ENSMUSG00000052684,mmu:16476,mmu05142
ENSMUSG00000052684,mmu:16476,mmu05161
ENSMUSG00000052684,mmu:16476,mmu05162
ENSMUSG00000052684,mmu:16476,mmu05166
ENSMUSG00000052684,mmu:16476,mmu05167
ENSMUSG00000052684,mmu:16476,mmu05169
ENSMUSG00000052684,mmu:16476,mmu05170
ENSMUSG00000052684,mmu:16476,mmu05171
ENSMUSG00000052684,mmu:16476,mmu05200
ENSMUSG00000052684,mmu:16476,mmu05203
ENSMUSG00000052684,mmu:16476,mmu05207
ENSMUSG00000052684,mmu:16476,mmu05208
ENSMUSG00000052684,mmu:16476,mmu05210
ENSMUSG00000052684,mmu:16476,mmu05211
ENSMUSG00000052684,mmu:16476,mmu05224
ENSMUSG00000052684,mmu:16476,mmu05231
ENSMUSG00000052684,mmu:16476,mmu05235
ENSMUSG00000052684,mmu:16476,mmu05321
ENSMUSG00000052684,mmu:16476,mmu05323
ENSMUSG00000052684,mmu:16476,mmu05417
ENSMUSG00000052684,mmu:16476,mmu05418
ENSMUSG00000017453,mmu:19193,mmu00260
ENSMUSG00000017453,mmu:19193,mmu00310
ENSMUSG00000017453,mmu:19193,mmu01100
ENSMUSG00000017453,mmu:19193,mmu04146
ENSMUSG00000037709,mmu:58909,
ENSMUSG00000020182,mmu:13195,mmu00350
ENSMUSG00000020182,mmu:13195,mmu00360
ENSMUSG00000020182,mmu:13195,mmu00380
ENSMUSG00000020182,mmu:13195,mmu01100
ENSMUSG00000020182,mmu:13195,mmu04726
ENSMUSG00000020182,mmu:13195,mmu04728
ENSMUSG00000020182,mmu:13195,mmu05030
ENSMUSG00000020182,mmu:13195,mmu05031
ENSMUSG00000020182,mmu:13195,mmu05034
ENSMUSG00000022881,mmu:106344,mmu03030
ENSMUSG00000022881,mmu:106344,mmu03410
ENSMUSG00000022881,mmu:106344,mmu03420
ENSMUSG00000022881,mmu:106344,mmu03430
ENSMUSG00000046962,mmu:114565,
ENSMUSG00000038042,mmu:218232,
ENSMUSG00000099032,mmu:100039596,
ENSMUSG00000056487,mmu:393082,
ENSMUSG00000038418,mmu:13653,mmu04371
ENSMUSG00000038418,mmu:13653,mmu04912
ENSMUSG00000038418,mmu:13653,mmu04928
ENSMUSG00000038418,mmu:13653,mmu04933
ENSMUSG00000038418,mmu:13653,mmu05020
ENSMUSG00000038418,mmu:13653,mmu05166
ENSMUSG00000022871,mmu:59083,
ENSMUSG00000017716,mmu:11799,mmu01524
ENSMUSG00000017716,mmu:11799,mmu04210
ENSMUSG00000017716,mmu:11799,mmu04215
ENSMUSG00000017716,mmu:11799,mmu04390
ENSMUSG00000017716,mmu:11799,mmu05161
ENSMUSG00000017716,mmu:11799,mmu05200
ENSMUSG00000017716,mmu:11799,mmu05207
ENSMUSG00000017716,mmu:11799,mmu05210
ENSMUSG00000022673,mmu:17217,mmu03030
ENSMUSG00000022673,mmu:17217,mmu04110
ENSMUSG00000055612,mmu:66953,
ENSMUSG00000061906,mmu:100559,mmu00040
ENSMUSG00000061906,mmu:100559,mmu00053
ENSMUSG00000061906,mmu:100559,mmu00140
ENSMUSG00000061906,mmu:100559,mmu00830
ENSMUSG00000061906,mmu:100559,mmu00860
ENSMUSG00000061906,mmu:100559,mmu00980
ENSMUSG00000061906,mmu:100559,mmu00982
ENSMUSG00000061906,mmu:100559,mmu00983
ENSMUSG00000061906,mmu:100559,mmu01100
ENSMUSG00000061906,mmu:100559,mmu01240
ENSMUSG00000061906,mmu:100559,mmu04976
ENSMUSG00000061906,mmu:100559,mmu05204
ENSMUSG00000061906,mmu:100559,mmu05207
ENSMUSG00000024791,mmu:67849,mmu04110
ENSMUSG00000024791,mmu:67849,mmu05206
ENSMUSG00000040414,mmu:246696,
ENSMUSG00000048327,mmu:70466,
ENSMUSG00000049562,mmu:381201,
ENSMUSG00000078922,mmu:21822,
ENSMUSG00000026602,mmu:170484,
ENSMUSG00000033770,mmu:12733,
ENSMUSG00000037254,mmu:16425,
ENSMUSG00000042406,mmu:11911,mmu04010
ENSMUSG00000042406,mmu:11911,mmu04022
ENSMUSG00000042406,mmu:11911,mmu04137
ENSMUSG00000042406,mmu:11911,mmu04141
ENSMUSG00000042406,mmu:11911,mmu04151
ENSMUSG00000042406,mmu:11911,mmu04210
ENSMUSG00000042406,mmu:11911,mmu04211
ENSMUSG00000042406,mmu:11911,mmu04261
ENSMUSG00000042406,mmu:11911,mmu04668
ENSMUSG00000042406,mmu:11911,mmu04720
ENSMUSG00000042406,mmu:11911,mmu04722
ENSMUSG00000042406,mmu:11911,mmu04725
ENSMUSG00000042406,mmu:11911,mmu04728
ENSMUSG00000042406,mmu:11911,mmu04911
ENSMUSG00000042406,mmu:11911,mmu04912
ENSMUSG00000042406,mmu:11911,mmu04915
ENSMUSG00000042406,mmu:11911,mmu04918
ENSMUSG00000042406,mmu:11911,mmu04922
ENSMUSG00000042406,mmu:11911,mmu04925
ENSMUSG00000042406,mmu:11911,mmu04926
ENSMUSG00000042406,mmu:11911,mmu04927
ENSMUSG00000042406,mmu:11911,mmu04928
ENSMUSG00000042406,mmu:11911,mmu04932
ENSMUSG00000042406,mmu:11911,mmu04934
ENSMUSG00000042406,mmu:11911,mmu04935
ENSMUSG00000042406,mmu:11911,mmu05010
ENSMUSG00000042406,mmu:11911,mmu05012
ENSMUSG00000042406,mmu:11911,mmu05014
ENSMUSG00000042406,mmu:11911,mmu05020
ENSMUSG00000042406,mmu:11911,mmu05022
ENSMUSG00000042406,mmu:11911,mmu05030
ENSMUSG00000042406,mmu:11911,mmu05031
ENSMUSG00000042406,mmu:11911,mmu05034
ENSMUSG00000042406,mmu:11911,mmu05161
ENSMUSG00000042406,mmu:11911,mmu05163
ENSMUSG00000042406,mmu:11911,mmu05166
